Location,Frame_Type,Signal_dBm,Frequency_MHz,PHY_Type,Data_Rate_Mbps,Distance,Load,Channel,Hour,Minute,Second,MCS,WiFi_Version
Tapal_Rush_Near_CH149,,-77,5745,5,6.0,Near,Rush,149,9,56,48,,Unknown
Tapal_Rush_Near_CH149,,-85,5745,5,6.0,Near,Rush,149,9,56,48,,Unknown
Tapal_Rush_Near_CH149,,-74,5745,5,6.0,Near,Rush,149,9,56,48,,Unknown
Tapal_Rush_Near_CH149,,-73,5745,5,6.0,Near,Rush,149,9,56,48,,Unknown
Tapal_Rush_Near_CH149,,-82,5745,5,6.0,Near,Rush,149,9,56,48,,Unknown
Tapal_Rush_Near_CH149,,-76,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-75,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-81,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-77,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-84,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-66,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-69,5745,8,65.0,Near,Rush,149,9,56,49,6.0,WiFi5
Tapal_Rush_Near_CH149,,-86,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-80,5745,5,24.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-79,5745,5,24.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-79,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-72,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-83,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-71,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-69,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-70,5745,5,6.0,Near,Rush,149,9,56,49,,Unknown
Tapal_Rush_Near_CH149,,-56,5745,8,28.8888893,Near,Rush,149,9,56,49,3.0,WiFi5
Tapal_Rush_Near_CH149,,-54,5745,8,28.8888893,Near,Rush,149,9,56,49,3.0,WiFi5
Tapal_Rush_Near_CH149,,-80,5745,5,6.0,Near,Rush,149,9,56,50,,Unknown
Tapal_Rush_Near_CH149,,-82,5745,5,6.0,Near,Rush,149,9,56,50,,Unknown
Tapal_Rush_Near_CH149,,-81,5745,5,6.0,Near,Rush,149,9,56,50,,Unknown
Tapal_Rush_Near_CH149,,-76,5745,5,6.0,Near,Rush,149,9,56,50,,Unknown
Tapal_Rush_Near_CH149,,-77,5745,5,24.0,Near,Rush,149,9,56,50,,Unknown
Tapal_Rush_Near_CH149,,-77,5745,5,6.0,Near,Rush,149,9,56,50,,Unknown
Tapal_Rush_Near_CH149,,-89,5745,8,6.5,Near,Rush,149,9,56,50,0.0,WiFi5
Tapal_Rush_Near_CH149,,-88,5745,8,6.5,Near,Rush,149,9,56,50,0.0,WiFi5
Tapal_Rush_Near_CH149,,-74,5745,5,6.0,Near,Rush,149,9,56,50,,Unknown
Tapal_Rush_Near_CH149,,-78,5745,5,6.0,Near,Rush,149,9,56,50,,Unknown
Tapal_Rush_Near_CH149,,-66,5745,5,6.0,Near,Rush,149,9,56,50,,Unknown
Tapal_Rush_Near_CH149,,-81,5745,5,24.0,Near,Rush,149,9,56,51,,Unknown
Tapal_Rush_Near_CH149,,-88,5745,8,6.5,Near,Rush,149,9,56,51,0.0,WiFi5
Tapal_Rush_Near_CH149,,-90,5745,5,6.0,Near,Rush,149,9,56,51,,Unknown
Tapal_Rush_Near_CH149,,-79,5745,5,24.0,Near,Rush,149,9,56,51,,Unknown
Tapal_Rush_Near_CH149,,-71,5745,5,6.0,Near,Rush,149,9,56,51,,Unknown
Tapal_Rush_Near_CH149,,-70,5745,5,6.0,Near,Rush,149,9,56,51,,Unknown
Tapal_Rush_Near_CH149,,-78,5745,5,24.0,Near,Rush,149,9,56,51,,Unknown
Tapal_Rush_Near_CH149,,-79,5745,5,6.0,Near,Rush,149,9,56,51,,Unknown
Tapal_Rush_Near_CH149,,-85,5745,5,6.0,Near,Rush,149,9,56,51,,Unknown
Tapal_Rush_Near_CH149,,-80,5745,5,24.0,Near,Rush,149,9,56,51,,Unknown
Tapal_Rush_Near_CH149,,-73,5745,5,6.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-82,5745,5,6.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-83,5745,5,6.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-72,5745,5,6.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-70,5745,5,6.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-74,5745,5,6.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-77,5745,5,6.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-81,5745,5,24.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-80,5745,5,24.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-81,5745,5,6.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-80,5745,5,6.0,Near,Rush,149,9,56,52,,Unknown
Tapal_Rush_Near_CH149,,-76,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-77,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-85,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-78,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-81,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-67,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-79,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-60,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-80,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-73,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-74,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-88,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-72,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-60,5745,8,28.8888893,Near,Rush,149,9,56,53,3.0,WiFi5
Tapal_Rush_Near_CH149,,-84,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-66,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-65,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-55,5745,8,28.8888893,Near,Rush,149,9,56,53,3.0,WiFi5
Tapal_Rush_Near_CH149,,-75,5745,5,6.0,Near,Rush,149,9,56,53,,Unknown
Tapal_Rush_Near_CH149,,-75,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-82,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-86,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-62,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-83,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-57,5745,8,28.8888893,Near,Rush,149,9,56,54,3.0,WiFi5
Tapal_Rush_Near_CH149,,-66,5745,8,78.0,Near,Rush,149,9,56,54,8.0,WiFi5
Tapal_Rush_Near_CH149,,-67,5745,8,78.0,Near,Rush,149,9,56,54,8.0,WiFi5
Tapal_Rush_Near_CH149,,-65,5745,8,78.0,Near,Rush,149,9,56,54,8.0,WiFi5
Tapal_Rush_Near_CH149,,-81,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-80,5745,5,24.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-69,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-70,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-71,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-85,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-84,5745,5,6.0,Near,Rush,149,9,56,54,,Unknown
Tapal_Rush_Near_CH149,,-78,5745,5,6.0,Near,Rush,149,9,56,55,,Unknown
Tapal_Rush_Near_CH149,,-86,5745,8,6.5,Near,Rush,149,9,56,55,0.0,WiFi5
Tapal_Rush_Near_CH149,,-86,5745,5,6.0,Near,Rush,149,9,56,55,,Unknown
Tapal_Rush_Near_CH149,,-88,5745,8,6.5,Near,Rush,149,9,56,55,0.0,WiFi5
Tapal_Rush_Near_CH149,,-76,5745,8,6.5,Near,Rush,149,9,56,55,0.0,WiFi5
Tapal_Rush_Near_CH149,,-68,5745,8,78.0,Near,Rush,149,9,56,55,8.0,WiFi5
Tapal_Rush_Near_CH149,,-78,5745,8,6.5,Near,Rush,149,9,56,55,0.0,WiFi5
Tapal_Rush_Near_CH149,,-60,5745,8,43.3333321,Near,Rush,149,9,56,55,4.0,WiFi5
Tapal_Rush_Near_CH149,,-79,5745,5,6.0,Near,Rush,149,9,56,55,,Unknown
Tapal_Rush_Near_CH149,,-75,5745,5,6.0,Near,Rush,149,9,56,55,,Unknown
Tapal_Rush_Near_CH149,,-76,5745,5,6.0,Near,Rush,149,9,56,55,,Unknown
Tapal_Rush_Near_CH149,,-69,5745,8,78.0,Near,Rush,149,9,56,55,8.0,WiFi5
