Location,Timestamp,Transmitter_MAC,Receiver_MAC,BSSID,Frame_Type,Signal_dBm,Frequency_MHz,PHY_Type,MCS_Legacy,MCS_WiFi5,MCS_WiFi6,Data_Rate_Mbps
C-203_Pod_CH149,2026-03-31 12:00:49.379289600,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-74,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.479203584,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-74,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.544633600,14:96:2d:07:90:a1,28:c5:d2:99:d7:ac,14:96:2d:07:90:a1,0x0028,-64,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.555196672,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-79,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.556836352,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:49.616075264,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-79,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.683676672,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.684092416,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-79,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.709755136,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-79,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.784711680,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.827395328,fe:5b:85:0f:6b:74,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x0024,-82,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.827556352,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-88,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.827746048,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-89,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.829247744,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-88,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.829413120,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-89,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:49.841638144,c6:fc:3f:ba:bc:4b,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x0024,-70,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.199000832,c6:fc:3f:ba:bc:4b,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x0024,-70,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.232917504,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-89,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.233479680,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-88,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.333471232,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-74,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.340647680,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.402714368,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-74,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.697770240,fe:5b:85:0f:6b:74,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x0024,-82,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.787941120,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-86,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.787978496,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-88,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.788209664,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-87,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.791459072,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-87,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.793467648,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-88,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.793569536,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-88,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.799767808,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-88,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.799809280,62:3e:c1:21:59:df,14:96:2d:10:4b:46,14:96:2d:10:4b:46,0x0024,-90,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.835773952,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.850183936,46:08:e6:18:a9:db,14:96:2d:07:bf:6c,14:96:2d:07:bf:6c,0x0024,-90,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.916156416,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-73,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.983937280,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-62,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.096751104,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.117642752,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:51.117735168,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.172502016,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.197021952,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
